cluster,MDA_mean,MDA_std,MDI,SHAP_mag
C4_f2,0.03726242138976933,0.025671248672302152,0.14360487744951383,0.0
C3_f6,0.0227460130541486,0.03007877704199703,0.08555513000794183,0.0
C5_f11,0.019085154880762793,0.023232936267678205,0.09420571594349271,0.0
C13_f11,0.01679784337093858,0.035174359521068954,0.0778421152661796,0.0
C10_f11,0.016052562327491523,0.019960156206096438,0.058765554050258774,0.0
F4_latent,0.011894245432598153,0.012706803418148947,0.04144256451637115,0.0
C14_f1,0.004608384194748908,0.036019557565816915,0.07454998107348527,0.0
C12_f12,0.00175197746450656,0.006952289542045657,0.014025404914799536,0.0
C8_f11_lowfreq_macro,0.000335045314963193,0.00233416762096447,0.004125062783799675,0.0
C7_f7,-0.00022664562280300487,0.0013347830182465425,0.0020988752444528313,0.0
C2_f1,-0.0024552027972274404,0.02663351233853648,0.048999592476305365,0.0
C11_f7,-0.002775211678491881,0.0054802634560973795,0.019746509130955256,0.0
C9_f11_lowfreq_macro,-0.002843274628602288,0.006754173295191131,0.012403901430625412,0.0
F8_calendar,-0.00484100452284009,0.017364818794025745,0.015609886059673513,0.0
C15_f11,-0.00640263963607648,0.021352342537718942,0.10928959504388629,0.0
C1_f1,-0.007141757446102093,0.051157654470909045,0.07891478991301952,0.0
C6_f11,-0.009318793125587022,0.017077057119062208,0.0781172039861581,0.0
F5_signal,-0.012213803562117043,0.02432417005801913,0.040703240709081365,0.0
