cluster,feature,f_prefix,cluster_significant
C1_f1,f1_mr_score_10,f1_,False
C1_f1,f1_dist_ma_sigma_10,f1_,False
C1_f1,f1_ret_reversal_10,f1_,False
C1_f1,f1_hilo_pos_10,f1_,False
C1_f1,f1_mr_score_20,f1_,False
C1_f1,f1_hilo_pos_20,f1_,False
C1_f1,f1_mr_score_40,f1_,False
C1_f1,f1_bb_pctb_20,f1_,False
C1_f1,f6_macd_hist_12_26_9,f6_,False
C1_f1,f6_donchian_pos_20,f6_,False
C1_f1,f10_oto_ret,f10_,False
C2_f1,f1_dist_ma_sigma_20,f1_,False
C2_f1,f1_ret_reversal_20,f1_,False
C2_f1,f1_dist_ma_sigma_40,f1_,False
C2_f1,f1_ret_reversal_40,f1_,False
C2_f1,f1_hilo_pos_40,f1_,False
C2_f1,f1_rsi_14,f1_,False
C2_f1,f2_vol_ratio_20_60,f2_,False
C2_f1,f6_ts_momentum_20,f6_,False
C2_f1,f6_ts_momentum_60,f6_,False
C2_f1,f6_ma_cross_20_60,f6_,False
C2_f1,f6_macd_12_26,f6_,False
C2_f1,f10_oto_ret_mean_20,f10_,False
C2_f1,f13_realized_semi_vol_ratio,f13_,False
C2_f1,f13_expected_hit_time,f13_,False
C2_f1,f13_prob_timeout,f13_,False
C3_f11_lowfreq_macro,f11_us_2s10s_slope,f11_,False
C3_f11_lowfreq_macro,f11_crude_stock_surprise,f11_,False
C3_f11_lowfreq_macro,f11_ism_pmi_level,f11_,False
C3_f11_lowfreq_macro,f11_global_pmi_breadth,f11_,False
C4_f2,f2_vol_10,f2_,False
C4_f2,f2_vol_20,f2_,False
C4_f2,f2_vol_pctile_20,f2_,False
C4_f2,f2_parkinson_20,f2_,False
C4_f2,f2_garman_klass_20,f2_,False
C4_f2,f10_hl_range,f10_,False
C4_f2,hmm_vol_p0_calm,hmm_,False
C4_f2,hmm_vol_p2_turbulent,hmm_,False
C5_f2,f2_vol_60,f2_,False
C5_f2,f2_vol_of_vol_20,f2_,False
C5_f2,f2_atr_14,f2_,False
C5_f2,f2_ret_skew_60,f2_,False
C5_f2,f2_ret_kurt_60,f2_,False
C5_f2,hmm_vol_entropy,hmm_,False
C6_f11_lowfreq_macro,f11_move_vix_ratio,f11_,False
C6_f11_lowfreq_macro,f11_ust_bund_spread,f11_,False
C6_f11_lowfreq_macro,f11_hy_ig_ratio,f11_,False
C6_f11_lowfreq_macro,f11_dxy_z,f11_,False
C6_f11_lowfreq_macro,f11_china_pmi_level,f11_,False
C7_f11,f11_breakeven_10y,f11_,False
C7_f11,f11_hy_oas_z,f11_,False
C7_f11,f11_ig_oas_z,f11_,False
C7_f11,f11_copper_stock_z,f11_,False
C7_f11,f15_ewma_implied_corr_z,f15_,False
C7_f11,hmm_macro_p0,hmm_,False
C8_f7,f7_volume_z_20,f7_,False
C8_f7,f7_volume_trend_20,f7_,False
C9_f11_lowfreq_macro,f11_dxy_5d_change,f11_,False
C9_f11_lowfreq_macro,f11_eurusd_5d_change,f11_,False
C10_f11_lowfreq_macro,f11_vix_level_z,f11_,False
C10_f11_lowfreq_macro,f11_vix_5d_change,f11_,False
C10_f11_lowfreq_macro,f11_vix_term_slope,f11_,False
C10_f11_lowfreq_macro,f11_ust_10y_5d_change,f11_,False
C10_f11_lowfreq_macro,f11_bund_10y_5d_change,f11_,False
C10_f11_lowfreq_macro,f11_be_5d_change,f11_,False
C10_f11_lowfreq_macro,f11_hy_oas_5d_change,f11_,False
C11_f7,f7_oi_level,f7_,False
C11_f7,f7_oi_change,f7_,False
C11_f7,f7_oi_z_20,f7_,False
C12_f12,f11_skew_z,f11_,False
C12_f12,f11_real_yield_10y,f11_,False
C12_f12,f11_dist_stock_surprise,f11_,False
C12_f12,f11_ism_pmi_3m_change,f11_,False
C12_f12,f12_mra_energy_D1,f12_,False
C12_f12,f12_mra_energy_D2,f12_,False
C12_f12,f12_mra_energy_D3,f12_,False
C12_f12,f12_mra_energy_D4,f12_,False
C12_f12,f12_mra_energy_D5,f12_,False
C13_f11,f1_bb_bandwidth_20,f1_,False
C13_f11,f6_adx_14,f6_,False
C13_f11,f7_oi_price_div_20,f7_,False
C13_f11,f11_move_z,f11_,False
C13_f11,f11_gasoline_stock_surprise,f11_,False
C13_f11,f11_ng_stock_surprise,f11_,False
C13_f11,f11_baltic_dry_z,f11_,False
C13_f11,f11_baltic_5d_change,f11_,False
C13_f11,f13_path_tortuosity_20d,f13_,False
C13_f11,hmm_macro_entropy,hmm_,False
F4_latent,f4_pc1,f4_,False
F4_latent,f4_pc2,f4_,False
F4_latent,f4_pc3,f4_,False
F4_latent,f4_pc4,f4_,False
F5_signal,f5_signal,f5_,False
F5_signal,f5_trailing_run_length,f5_,False
F5_signal,f5_participation_20,f5_,False
F5_signal,f5_long_bias_20,f5_,False
F5_signal,f5_sign_agree_mr,f5_,False
F8_calendar,f8_dow_sin,f8_,False
F8_calendar,f8_dow_cos,f8_,False
F8_calendar,f8_month_sin,f8_,False
F8_calendar,f8_month_cos,f8_,False
F_instrument,inst_ho1s,inst_,False
